1,2019-05-30,Zakup zarowek,123.84 PLN
2,2019-06-12,Zakup komputera,2333.11 PLN
3,2019-05-15,Zakup roweru,1200.00 PLN
4,2019-05-14,Zakup masła,5.84 PLN
5,2019-05-11,Zakup jajek,123.84 PLN
6,2019-06-02,Zakup test,1.5 PLN
7,2019-06-25,Zakup abc,11.22 PLN
8,2019-07-28,Zakup reklamówki,0.31 PLN
9,2019-07-01,Zakup wody,13.37 PLN
10,2019-06-01,Zakup domu,500123.00 PLN
11,2019-05-30,Zakup zarowek 2,623.84 PLN
12,2019-06-12,Zakup komputera 2,1333.11 PLN
13,2019-05-15,Zakup roweru 2,4200.00 PLN
14,2019-05-14,Zakup masła 2,4.84 PLN
15,2019-05-11,Zakup jajek 2,223.84 PLN
16,2019-06-02,Zakup test 2,0.5 PLN
17,2019-06-25,Zakup abc 2,31.22 PLN
18,2019-07-28,Zakup reklamówki 2,0.11 PLN
19,2019-07-01,Zakup wody 2,43.37 PLN
20,2019-06-01,Zakup domu 2,300123.00 PLN
